Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
37,Jordan Bell\belljo01,C-PF,25,TOT,29,256,13.9,.577,.179,.463,12.0,21.8,16.7,8.9,0.5,3.2,20.7,16.4,,0.2,0.2,0.4,.069,,-1.4,-1.1,-2.5,0.0
37,Jordan Bell\belljo01,C,25,MIN,27,235,14.1,.570,.150,.483,12.1,23.3,17.5,8.6,0.4,3.5,19.8,15.9,,0.2,0.2,0.4,.072,,-1.5,-1.1,-2.5,0.0
37,Jordan Bell\belljo01,PF,25,MEM,2,21,12.6,.635,.429,.286,10.2,4.9,7.5,12.8,2.2,0.0,27.6,21.5,,0.0,0.0,0.0,.045,,-0.4,-1.1,-1.5,0.0
38,DeAndre' Bembry\bembrde01,SG,25,ATL,43,915,9.6,.500,.285,.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,,-0.5,0.7,0.2,.011,,-3.5,1.0,-2.4,-0.1
39,Dragan Bender\bendedr01,SF,22,TOT,16,286,11.0,.545,.467,.152,5.9,21.0,13.5,14.4,0.7,2.8,17.6,17.7,,0.0,0.3,0.3,.053,,-3.0,0.1,-2.9,-0.1
39,Dragan Bender\bendedr01,SF,22,MIL,7,91,8.5,.582,.429,.143,0.0,20.5,10.9,12.5,0.0,4.8,18.3,12.4,,0.0,0.2,0.2,.109,,-4.3,3.0,-1.3,0.0
39,Dragan Bender\bendedr01,SF,22,GSW,9,195,12.1,.534,.479,.155,8.6,21.3,14.7,15.2,1.0,1.8,17.4,20.1,,0.0,0.1,0.1,.027,,-2.4,-1.3,-3.6,-0.1
40,Dāvis Bertāns\bertada01,PF,27,WAS,54,1583,15.5,.628,.774,.200,2.3,15.2,8.5,8.3,1.1,1.8,8.2,19.0,,3.0,0.5,3.5,.106,,2.7,-1.8,0.9,1.1
41,Patrick Beverley\beverpa01,PG,31,LAC,50,1334,12.5,.560,.609,.136,4.5,15.7,10.2,18.3,1.9,1.6,15.6,13.2,,1.6,2.1,3.6,.130,,-0.4,2.6,2.2,1.4
42,Khem Birch\birchkh01,C,27,ORL,41,794,10.7,.539,.008,.603,9.4,15.7,12.5,6.8,1.0,2.6,13.6,9.6,,0.8,0.8,1.7,.100,,-3.1,0.5,-2.6,-0.1
43,Goga Bitadze\bitadgo01,C,20,IND,49,410,12.2,.530,.279,.256,6.0,19.8,12.9,7.1,0.7,6.8,14.8,18.1,,-0.1,0.6,0.6,.068,,-4.0,1.5,-2.5,0.0
44,Bismack Biyombo\biyombi01,C,27,CHO,53,1029,16.1,.570,.000,.543,12.3,20.7,16.3,7.8,0.5,4.4,12.2,16.8,,1.5,0.9,2.4,.113,,-1.8,-0.7,-2.5,-0.1
45,Nemanja Bjelica\bjeline01,PF,31,SAC,65,1852,15.6,.598,.487,.121,6.4,19.4,12.7,14.4,1.5,1.7,12.6,17.3,,3.0,1.8,4.8,.125,,1.2,0.4,1.6,1.7
46,Eric Bledsoe\bledser01,PG,30,MIL,56,1524,18.1,.579,.304,.292,2.8,13.3,8.4,28.6,1.6,1.4,15.8,24.0,,2.4,2.9,5.3,.167,,1.1,1.1,2.2,1.6
47,Bogdan Bogdanović\bogdabo01,SG,27,SAC,54,1542,14.6,.564,.598,.164,1.2,11.7,6.3,17.1,1.8,0.9,11.4,22.3,,1.4,1.2,2.5,.078,,0.9,-0.3,0.5,1.0
48,Bojan Bogdanović\bogdabo02,SF,30,UTA,63,2083,15.7,.603,.489,.296,2.1,11.1,6.8,10.0,0.8,0.3,13.1,25.6,,2.7,1.6,4.3,.100,,1.6,-1.5,0.2,1.1
49,Bol Bol\bolbo01,C,20,DEN,1,12,12.7,.563,.250,.250,18.5,18.6,18.6,12.0,0.0,0.0,31.1,23.3,,0.0,0.0,0.0,-0.015,,-0.1,-3.8,-3.9,0.0
50,Jonah Bolden\boldejo01,PF,24,TOT,7,47,4.9,.392,.364,.364,7.0,14.4,10.7,0.0,3.0,3.7,13.6,13.4,,-0.1,0.1,0.0,-0.008,,-8.8,-0.1,-8.9,-0.1
50,Jonah Bolden\boldejo01,PF,24,PHI,4,14,-2.0,.515,.333,.667,0.0,7.9,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.148,,-13.9,-0.7,-14.7,0.0
50,Jonah Bolden\boldejo01,PF,24,PHO,3,33,7.9,.338,.375,.250,10.0,17.2,13.5,0.0,2.9,5.3,0.0,11.4,,0.0,0.1,0.0,.051,,-6.6,0.1,-6.5,0.0
51,Marques Bolden\boldema01,C,21,CLE,1,3,19.8,,,,0.0,74.7,37.0,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,.282,,-5.8,11.3,5.5,0.0
52,Jordan Bone\bonejo01,PG,22,DET,10,53,0.8,.300,.500,.000,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,,-0.1,0.0,-0.1,-0.118,,-9.0,-2.9,-11.9,-0.1
53,Isaac Bonga\bongais01,SF,20,WAS,59,1048,10.6,.624,.295,.363,6.3,13.7,9.8,7.6,1.7,1.7,16.3,10.5,,1.3,0.4,1.7,.079,,-2.4,0.0,-2.5,-0.1
54,Devin Booker\bookede01,SG,23,PHO,63,2277,19.7,.615,.313,.396,1.3,11.8,6.4,30.0,1.0,0.6,15.7,29.6,,4.8,1.3,6.1,.128,,3.0,-1.5,1.5,2.0
55,Chris Boucher\bouchch01,PF,27,TOR,56,725,19.8,.568,.383,.395,14.0,21.1,17.6,4.7,1.3,7.1,7.0,19.4,,1.7,1.5,3.2,.214,,0.3,1.0,1.3,0.6
56,Brian Bowen\bowenbr02,SG,21,IND,5,29,-2.0,.222,.222,.000,3.8,22.7,13.3,0.0,0.0,3.0,10.0,15.1,,-0.1,0.0,-0.1,-0.154,,-9.7,-2.1,-11.8,-0.1
57,Ky Bowman\bowmaky01,PG,22,GSW,45,1015,9.2,.494,.333,.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,,-0.6,0.6,-0.1,-0.003,,-4.0,-0.3,-4.3,-0.6
58,Avery Bradley\bradlav01,SG,29,LAL,49,1186,8.9,.537,.452,.063,1.7,8.7,5.3,7.2,1.7,0.4,10.7,15.7,,0.2,1.4,1.6,.066,,-2.9,0.5,-2.4,-0.1
59,Tony Bradley\bradlto01,C,22,UTA,52,562,21.3,.665,.006,.242,19.8,24.3,22.2,4.7,1.1,3.9,12.5,16.3,,1.8,0.9,2.7,.233,,0.6,0.2,0.8,0.4
60,Jarrell Brantley\brantja01,PF,23,UTA,5,13,2.7,,,,0.0,40.5,21.1,9.2,0.0,12.8,100.0,6.7,,0.0,0.0,0.0,-0.054,,-8.6,5.9,-2.7,0.0
61,Ignas Brazdeikis\brazdig01,SF,21,NYK,9,53,3.3,.351,.409,.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,,-0.1,0.0,-0.1,-0.109,,-5.0,-3.9,-8.9,-0.1
62,Mikal Bridges\bridgmi01,SF,23,PHO,66,1806,12.9,.623,.395,.267,3.6,12.8,8.1,9.0,2.5,1.9,12.5,12.5,,2.3,2.0,4.2,.112,,-0.7,1.5,0.7,1.3
63,Miles Bridges\bridgmi02,SF,21,CHO,65,1995,12.2,.520,.398,.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,,0.3,1.3,1.6,.038,,-1.5,-1.0,-2.5,-0.3
64,Oshae Brissett\brissos01,SF,21,TOR,19,135,6.7,.458,.417,.278,7.2,13.0,10.2,7.0,1.4,0.7,14.8,15.0,,-0.1,0.2,0.1,.043,,-5.7,0.3,-5.4,-0.1
65,Ryan Broekhoff\broekry01,SG,29,DAL,17,180,13.1,.568,.864,.136,3.0,21.7,12.5,8.3,1.3,1.9,8.8,16.2,,0.2,0.2,0.4,.114,,0.4,0.4,0.9,0.1
66,Malcolm Brogdon\brogdma01,PG,27,IND,48,1472,17.7,.537,.296,.246,3.0,13.8,8.5,34.4,1.1,0.5,13.6,25.2,,2.0,1.4,3.4,.112,,2.2,-0.5,1.7,1.4
67,Dillon Brooks\brookdi01,SG,24,MEM,66,1887,11.1,.507,.390,.191,3.6,8.4,6.1,10.2,1.4,1.2,9.7,24.9,,-0.4,1.3,0.9,.023,,-2.8,-1.5,-4.3,-1.1
68,Bruce Brown\brownbr01,SG,23,DET,58,1634,11.9,.518,.215,.266,4.2,15.0,9.5,20.4,1.9,1.5,16.7,16.0,,0.8,1.4,2.1,.062,,-2.0,0.8,-1.2,0.3
69,Charlie Brown\brownch02,SG,22,ATL,10,40,11.1,.472,.474,.263,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,,0.0,0.0,0.0,-0.028,,-1.1,-1.4,-2.5,0.0
70,Jaylen Brown\brownja02,SF,23,BOS,51,1736,17.1,.589,.370,.286,3.4,16.4,9.9,10.1,1.6,0.9,11.7,24.6,,2.2,2.3,4.6,.126,,1.0,-0.1,0.9,1.3
71,Moses Brown\brownmo01,C,20,POR,9,33,6.7,.407,.000,.800,9.6,34.1,22.1,4.0,1.4,2.6,18.2,21.3,,-0.1,0.0,0.0,-0.062,,-8.2,-1.7,-9.9,-0.1
72,Sterling Brown\brownst02,SF,24,MIL,46,688,9.3,.475,.527,.162,4.4,19.2,12.3,8.7,1.7,0.9,13.5,16.5,,-0.4,1.4,1.0,.072,,-3.1,1.2,-1.9,0.0
73,Troy Brown Jr.\browntr01,SG,20,WAS,62,1546,13.8,.536,.284,.226,4.4,19.3,11.6,12.9,2.3,0.3,10.3,17.0,,1.3,0.9,2.2,.070,,-0.8,-0.4,-1.2,0.3
74,Jalen Brunson\brunsja01,PG,23,DAL,57,1022,15.0,.553,.309,.193,2.3,11.3,6.9,26.8,1.0,0.3,13.6,20.3,,1.6,0.7,2.3,.107,,0.1,-0.9,-0.8,0.3
75,Thomas Bryant\bryanth01,C,22,WAS,39,934,19.7,.650,.182,.304,8.6,23.4,15.7,11.9,0.8,3.1,11.7,18.2,,2.4,0.5,2.9,.148,,2.0,-1.1,0.8,0.7
76,Reggie Bullock\bullore01,SG,28,NYK,29,684,9.3,.502,.496,.094,2.0,8.8,5.3,8.8,1.8,0.4,7.5,15.6,,0.2,0.3,0.5,.036,,-2.7,-0.3,-3.0,-0.2
77,Trey Burke\burketr01,PG,27,TOT,26,359,17.7,.586,.336,.140,4.6,6.4,5.5,25.5,1.1,0.2,7.3,19.7,,0.9,0.3,1.2,.161,,2.2,-0.9,1.3,0.3
77,Trey Burke\burketr01,PG,27,PHI,25,329,15.4,.545,.299,.142,5.0,6.7,5.9,24.1,1.0,0.3,8.2,19.3,,0.6,0.2,0.9,.129,,0.7,-1.1,-0.5,0.1
77,Trey Burke\burketr01,G,27,DAL,1,30,43.2,.918,.625,.125,0.0,3.4,1.7,40.3,1.6,0.0,0.0,24.0,,0.3,0.0,0.3,.516,,19.0,1.7,20.7,0.2
78,Alec Burks\burksal01,SG,28,TOT,60,1624,15.9,.552,.391,.356,2.8,15.3,8.8,16.9,1.7,0.9,9.8,23.8,,1.9,1.1,2.9,.087,,0.6,-0.7,-0.2,0.7
78,Alec Burks\burksal01,SG,28,GSW,48,1390,16.1,.552,.373,.373,2.8,15.3,8.8,17.4,1.7,1.1,9.8,23.8,,1.6,0.8,2.5,.085,,0.7,-0.6,0.1,0.7
78,Alec Burks\burksal01,SG,28,PHI,12,234,14.7,.548,.500,.260,2.8,15.1,9.0,13.4,1.7,0.0,10.1,23.8,,0.2,0.3,0.5,.098,,-0.1,-1.5,-1.6,0.0
79,Deonte Burton\burtode02,SG,26,OKC,34,284,6.0,.426,.438,.114,2.4,15.9,9.4,5.6,0.9,3.0,11.3,19.3,,-0.6,0.3,-0.3,-0.045,,-5.5,-0.4,-5.8,-0.3
80,Jimmy Butler\butleji01,SF,30,MIA,55,1881,23.6,.585,.160,.683,6.3,15.1,10.9,28.2,2.5,1.5,11.1,25.2,,6.2,2.5,8.8,.224,,4.0,1.3,5.4,3.5
81,Bruno Caboclo\cabocbr01,SF,24,TOT,27,220,13.4,.455,.364,.065,10.7,14.6,12.7,7.4,2.5,6.3,10.2,16.7,,0.0,0.3,0.3,.069,,-2.5,1.1,-1.4,0.0
81,Bruno Caboclo\cabocbr01,SF,24,MEM,22,192,11.9,.441,.362,.043,9.5,14.5,12.1,7.0,2.4,5.4,9.1,16.7,,-0.1,0.3,0.2,.050,,-3.3,0.8,-2.4,0.0
81,Bruno Caboclo\cabocbr01,SF,24,HOU,5,28,23.6,.563,.375,.250,18.6,15.1,16.9,10.0,3.3,12.3,18.4,16.1,,0.1,0.1,0.1,.199,,2.5,3.2,5.7,0.1
82,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,65,1663,11.1,.583,.474,.206,2.5,6.2,4.4,8.8,1.5,0.7,10.0,14.8,,1.9,1.9,3.7,.107,,-1.0,0.4,-0.6,0.6
